"Fecha","Hora","PVPC","Dia"
"2014/04/01","1",43.17807024,"martes"
"2014/04/01","2",32.12854756,"martes"
"2014/04/01","3",24.85234756,"martes"
"2014/04/01","4",23.57086756,"martes"
"2014/04/01","5",23.01700756,"martes"
"2014/04/01","6",23.26678756,"martes"
"2014/04/01","7",30.35836756,"martes"
"2014/04/01","8",37.82415024,"martes"
"2014/04/01","9",46.10671024,"martes"
"2014/04/01","10",48.25743024,"martes"
"2014/04/01","11",50.76279024,"martes"
"2014/04/01","12",46.81599024,"martes"
"2014/04/01","13",39.36855024,"martes"
"2014/04/01","14",109.72685208,"martes"
"2014/04/01","15",104.88229208,"martes"
"2014/04/01","16",102.73553208,"martes"
"2014/04/01","17",97.11033208,"martes"
"2014/04/01","18",99.80813208,"martes"
"2014/04/01","19",96.34117208,"martes"
"2014/04/01","20",103.09141208,"martes"
"2014/04/01","21",115.07653208,"martes"
"2014/04/01","22",115.98345208,"martes"
"2014/04/01","23",105.90401208,"martes"
"2014/04/01","24",37.88135024,"martes"
"2014/04/02","1",37.50383024,"miércoles"
"2014/04/02","2",27.35014756,"miércoles"
"2014/04/02","3",24.41794756,"miércoles"
"2014/04/02","4",28.81624756,"miércoles"
"2014/04/02","5",26.91574756,"miércoles"
"2014/04/02","6",33.22540756,"miércoles"
"2014/04/02","7",42.23920756,"miércoles"
"2014/04/02","8",51.10599024,"miércoles"
"2014/04/02","9",57.32935024,"miércoles"
"2014/04/02","10",62.39727024,"miércoles"
"2014/04/02","11",62.43159024,"miércoles"
"2014/04/02","12",62.21423024,"miércoles"
"2014/04/02","13",59.88047024,"miércoles"
"2014/04/02","14",124.46717208,"miércoles"
"2014/04/02","15",121.26425208,"miércoles"
"2014/04/02","16",121.44793208,"miércoles"
"2014/04/02","17",120.87393208,"miércoles"
"2014/04/02","18",122.90589208,"miércoles"
"2014/04/02","19",123.54877208,"miércoles"
"2014/04/02","20",127.30273208,"miércoles"
"2014/04/02","21",130.87301208,"miércoles"
"2014/04/02","22",146.63505208,"miércoles"
"2014/04/02","23",137.94469208,"miércoles"
"2014/04/02","24",56.31119024,"miércoles"
"2014/04/03","1",51.54071024,"jueves"
"2014/04/03","2",42.66274756,"jueves"
"2014/04/03","3",41.40298756,"jueves"
"2014/04/03","4",42.25006756,"jueves"
"2014/04/03","5",37.96036756,"jueves"
"2014/04/03","6",36.77662756,"jueves"
"2014/04/03","7",45.11710756,"jueves"
"2014/04/03","8",60.07495024,"jueves"
"2014/04/03","9",69.84471024,"jueves"
"2014/04/03","10",67.17919024,"jueves"
"2014/04/03","11",66.73303024,"jueves"
"2014/04/03","12",63.14087024,"jueves"
"2014/04/03","13",61.74519024,"jueves"
"2014/04/03","14",122.67629208,"jueves"
"2014/04/03","15",115.63905208,"jueves"
"2014/04/03","16",111.75881208,"jueves"
"2014/04/03","17",106.21397208,"jueves"
"2014/04/03","18",99.39485208,"jueves"
"2014/04/03","19",93.09233208,"jueves"
"2014/04/03","20",106.43209208,"jueves"
"2014/04/03","21",120.19661208,"jueves"
"2014/04/03","22",121.84973208,"jueves"
"2014/04/03","23",114.24997208,"jueves"
"2014/04/03","24",36.88607024,"jueves"
"2014/04/04","1",24.05039024,"viernes"
"2014/04/04","2",18.77074756,"viernes"
"2014/04/04","3",17.76076756,"viernes"
"2014/04/04","4",17.73904756,"viernes"
"2014/04/04","5",15.39328756,"viernes"
"2014/04/04","6",15.53446756,"viernes"
"2014/04/04","7",20.17168756,"viernes"
"2014/04/04","8",28.23743024,"viernes"
"2014/04/04","9",30.36527024,"viernes"
"2014/04/04","10",32.45879024,"viernes"
"2014/04/04","11",26.07527024,"viernes"
"2014/04/04","12",25.28591024,"viernes"
"2014/04/04","13",24.96559024,"viernes"
"2014/04/04","14",93.68929208,"viernes"
"2014/04/04","15",90.57821208,"viernes"
"2014/04/04","16",90.81929208,"viernes"
"2014/04/04","17",89.91237208,"viernes"
"2014/04/04","18",90.68153208,"viernes"
"2014/04/04","19",91.22109208,"viernes"
"2014/04/04","20",93.35637208,"viernes"
"2014/04/04","21",110.92077208,"viernes"
"2014/04/04","22",114.12369208,"viernes"
"2014/04/04","23",105.08893208,"viernes"
"2014/04/04","24",29.03823024,"viernes"
"2014/04/05","1",33.33967024,"sábado"
"2014/04/05","2",30.60814756,"sábado"
"2014/04/05","3",27.89314756,"sábado"
"2014/04/05","4",24.84148756,"sábado"
"2014/04/05","5",24.24418756,"sábado"
"2014/04/05","6",24.53740756,"sábado"
"2014/04/05","7",26.28586756,"sábado"
"2014/04/05","8",35.00991024,"sábado"
"2014/04/05","9",31.97831024,"sábado"
"2014/04/05","10",36.64583024,"sábado"
"2014/04/05","11",40.39815024,"sábado"
"2014/04/05","12",39.24271024,"sábado"
"2014/04/05","13",38.71647024,"sábado"
"2014/04/05","14",107.55713208,"sábado"
"2014/04/05","15",101.65641208,"sábado"
"2014/04/05","16",99.70481208,"sábado"
"2014/04/05","17",95.43425208,"sábado"
"2014/04/05","18",95.37685208,"sábado"
"2014/04/05","19",99.77369208,"sábado"
"2014/04/05","20",109.29061208,"sábado"
"2014/04/05","21",124.70825208,"sábado"
"2014/04/05","22",129.39209208,"sábado"
"2014/04/05","23",127.13053208,"sábado"
"2014/04/05","24",50.76279024,"sábado"
"2014/04/06","1",50.63695024,"domingo"
"2014/04/06","2",42.74962756,"domingo"
"2014/04/06","3",33.04078756,"domingo"
"2014/04/06","4",36.70060756,"domingo"
"2014/04/06","5",34.63720756,"domingo"
"2014/04/06","6",34.66978756,"domingo"
"2014/04/06","7",32.12854756,"domingo"
"2014/04/06","8",36.96615024,"domingo"
"2014/04/06","9",35.08999024,"domingo"
"2014/04/06","10",36.46279024,"domingo"
"2014/04/06","11",40.76423024,"domingo"
"2014/04/06","12",38.54487024,"domingo"
"2014/04/06","13",37.49239024,"domingo"
"2014/04/06","14",105.59405208,"domingo"
"2014/04/06","15",104.27385208,"domingo"
"2014/04/06","16",102.74701208,"domingo"
"2014/04/06","17",99.25709208,"domingo"
"2014/04/06","18",102.28781208,"domingo"
"2014/04/06","19",106.30581208,"domingo"
"2014/04/06","20",112.26393208,"domingo"
"2014/04/06","21",126.92389208,"domingo"
"2014/04/06","22",131.34369208,"domingo"
"2014/04/06","23",130.88449208,"domingo"
"2014/04/06","24",52.37583024,"domingo"
"2014/04/07","1",53.96599024,"lunes"
"2014/04/07","2",38.70970756,"lunes"
"2014/04/07","3",28.68592756,"lunes"
"2014/04/07","4",24.70030756,"lunes"
"2014/04/07","5",22.74550756,"lunes"
"2014/04/07","6",32.97562756,"lunes"
"2014/04/07","7",49.42852756,"lunes"
"2014/04/07","8",57.07767024,"lunes"
"2014/04/07","9",59.78895024,"lunes"
"2014/04/07","10",62.15703024,"lunes"
"2014/04/07","11",58.81655024,"lunes"
"2014/04/07","12",56.08239024,"lunes"
"2014/04/07","13",55.53327024,"lunes"
"2014/04/07","14",123.66357208,"lunes"
"2014/04/07","15",123.19289208,"lunes"
"2014/04/07","16",123.30769208,"lunes"
"2014/04/07","17",123.43397208,"lunes"
"2014/04/07","18",124.99525208,"lunes"
"2014/04/07","19",124.05389208,"lunes"
"2014/04/07","20",125.38557208,"lunes"
"2014/04/07","21",139.02381208,"lunes"
"2014/04/07","22",139.49449208,"lunes"
"2014/04/07","23",129.57577208,"lunes"
"2014/04/07","24",54.42359024,"lunes"
"2014/04/08","1",54.05751024,"martes"
"2014/04/08","2",45.55150756,"martes"
